Rank;Track;Artist;Streams;Date
200;Pa' Llamar Tu Atención (feat. MC Bin Laden);by C. Tangana;32925;8/1/19
1;China;by Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;769386;8/2/19
2;Otro Trago - Remix;by Sech, Ozuna, Anuel AA, Darell, Nicky Jam;496468;8/2/19
3;Callaita;by Bad Bunny, Tainy;410698;8/2/19
4;Lola Bunny;by Lola Indigo, Don Patricio;377668;8/2/19
5;Señorita;by Shawn Mendes, Camila Cabello;330627;8/2/19
6;Soltera - Remix;by Lunay, Daddy Yankee, Bad Bunny;312966;8/2/19
7;No Me Conoce - Remix;by Jhay Cortez, J Balvin, Bad Bunny;306449;8/2/19
8;LA CANCIÓN;by J Balvin, Bad Bunny;296405;8/2/19
9;Mirándote;by Rvfv;288042;8/2/19
10;QUE PRETENDES;by J Balvin, Bad Bunny;282220;8/2/19
11;Loco Contigo (feat. J. Balvin & Tyga);by DJ Snake, J Balvin;273821;8/2/19
12;Contando Lunares (feat. Cruz Cafuné);by Don Patricio;254405;8/2/19
13;Diavla;by Chris Viz, Young Vene;240357;8/2/19
14;11:00 PM;by Maluma;228618;8/2/19
15;La Rubia - Remix 2;by La Nueva Escuela, Omar Montes;228244;8/2/19
16;Cristina (feat. Shelow Shaq);by Maffio, Justin Quiles, Nacho;222667;8/2/19
17;Milionària;by ROSALÍA;205522;8/2/19
18;Con Altura;by ROSALÍA, J Balvin, El Guincho;205487;8/2/19
19;Baila Conmigo (feat. Kelly Ruiz);by Dayvi, Victor Cardenas, Kelly Ruíz;197796;8/2/19
20;Te Soñé De Nuevo;by Ozuna;193507;8/2/19
21;Con Calma;by Daddy Yankee, Snow;192647;8/2/19
22;Verte Ir;by DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago;190575;8/2/19
23;Hola Señorita;by GIMS, Maluma;182827;8/2/19
24;Calma - Remix;by Pedro Capó, Farruko;179982;8/2/19
25;Cuaderno;by Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön;179447;8/2/19
26;Bésame;by David Bisbal, Juan Magán;179316;8/2/19
27;Inocente;by Myke Towers;172689;8/2/19
28;Velitas;by Darell, Brytiago;172602;8/2/19
29;Soldi (feat. Maikel Delacalle);by Mahmood;167826;8/2/19
30;Te Robaré;by Nicky Jam, Ozuna;167445;8/2/19
31;Tal Vez;by Paulo Londra;165496;8/2/19
32;Pa Mí - Remix;by Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez;161140;8/2/19
33;Rebota - Remix;by Guaynaa, Nicky Jam, Farruko, Becky G, Sech;161064;8/2/19
34;Contra La Pared;by Sean Paul, J Balvin;159415;8/2/19
35;Mi Morena;by Juanfran;158215;8/2/19
36;Me Quedo;by Aitana, Lola Indigo;157421;8/2/19
37;Runaway;by Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers;156795;8/2/19
38;¿CÓMO TE VA, QUERIDA?;by Rels B, Don Patricio;151852;8/2/19
39;Cicatrices (feat. Indara);by Sergio Contreras;150430;8/2/19
40;Ellos;by Ceky Viciny;148586;8/2/19
41;Santa María (Feat. Busy Signal);by Bad Gyal;148157;8/2/19
42;Swing;by Danny Ocean;146300;8/2/19
43;Otro Trago;by Sech, Darell;145266;8/2/19
44;No Te Veo - Remix;by Casper Magico, Anuel AA;144150;8/2/19
45;I Don't Care (with Justin Bieber);by Ed Sheeran;142929;8/2/19
46;DOLLAR;by Becky G, Myke Towers;142399;8/2/19
47;Enchochado de Ti;by Don Patricio;135948;8/2/19
48;La Playa;by Myke Towers;134425;8/2/19
49;Si Se Da;by Myke Towers, Farruko;131872;8/2/19
50;MOJAITA;by J Balvin, Bad Bunny;130528;8/2/19
51;Déjate Querer;by Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds;126990;8/2/19
52;HP;by Maluma;124863;8/2/19
53;Si Se Da - Remix;by Myke Towers, Farruko, Arcangel, Sech, Zion;119560;8/2/19
54;Que Mas Pues - Remix;by Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez;112049;8/2/19
55;Gan-Ga;by Bryant Myers;109931;8/2/19
56;Delincuente;by Farruko, Anuel AA, Kendo Kaponi;105814;8/2/19
57;Date La Vuelta;by Luis Fonsi, Sebastian Yatra, Nicky Jam;104351;8/2/19
58;Indios y Vaqueros;by Sinsinati, Álvaro De Luna;102638;8/2/19
59;Tú No Amas;by Mambo Kingz, DJ Luian, Anuel AA, KAROL G, Arcangel;101005;8/2/19
60;Quedará En Nuestra Mente;by Amaia;99220;8/2/19
61;Cambio;by Ozuna, Anuel AA;98485;8/2/19
62;Presiento;by Morat, Aitana;97377;8/2/19
63;Atrévete;by Nicky Jam, Sech;95185;8/2/19
64;Si Supieras;by Daddy Yankee, Wisin & Yandel;94460;8/2/19
65;bad guy;by Billie Eilish;93737;8/2/19
66;Bellacoso;by Residente, Bad Bunny;92753;8/2/19
67;Hookah;by Bad Gyal;87173;8/2/19
68;Amanece;by Anuel AA, Haze;82588;8/2/19
69;boyfriend (with Social House);by Ariana Grande;82090;8/2/19
70;Baila Baila Baila - Remix;by Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA;81672;8/2/19
71;Boomerang;by Sech;79367;8/2/19
72;Baila Baila Baila;by Ozuna;78862;8/2/19
73;De Tranquilote;by Danny Romero, Lérica;78427;8/2/19
74;La Respuesta;by Becky G, Maluma;78004;8/2/19
75;Cúrame (feat. Manuel Turizo);by Prince Royce;77999;8/2/19
76;5 Sentidos;by Dvicio, Taburete;77634;8/2/19
77;Soldadito de Hierro;by Nil Moliner;75632;8/2/19
78;Aleluya;by Reik, Manuel Turizo;75046;8/2/19
79;La Boca - Remix;by Mau y Ricky, Camilo, Lunay;73791;8/2/19
80;Punto G;by KAROL G;73630;8/2/19
81;Aute Cuture;by ROSALÍA;72291;8/2/19
82;Maldición;by Lola Indigo, Lalo Ebratt;71973;8/2/19
83;Amor Genuino;by Ozuna;71713;8/2/19
84;Adan y Eva;by Paulo Londra;71628;8/2/19
85;Ocean;by KAROL G;70662;8/2/19
86;Celébrate;by Miki Núñez;70201;8/2/19
87;Nada Sale Mal;by Aitana;69203;8/2/19
88;El Efecto;by Rauw Alejandro, Chencho Corleone;68953;8/2/19
89;Me llama;by Beret;68665;8/2/19
90;Secreto;by Anuel AA, KAROL G;67997;8/2/19
91;Old Town Road - Remix;by Lil Nas X, Billy Ray Cyrus;67436;8/2/19
92;Mi Persona Favorita;by Alejandro Sanz, Camila Cabello;67074;8/2/19
93;Un Año;by Sebastian Yatra, Reik;66888;8/2/19
94;Instagram;by Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike;66702;8/2/19
95;nana triste;by Natalia Lacunza, Guitarricadelafuente;64815;8/2/19
96;Muito Calor;by Ozuna, Anitta;64739;8/2/19
97;En Cero;by Yandel, Sebastian Yatra, Manuel Turizo;63315;8/2/19
98;Aullando;by Wisin & Yandel, Romeo Santos;62127;8/2/19
99;Ella Quiere Beber - Remix;by Anuel AA, Romeo Santos;61926;8/2/19
100;Latina (feat. Maluma);by Reykon;61844;8/2/19
101;Sucker;by Jonas Brothers;61392;8/2/19
